Crystals,v_Binding_energy_mean,v_Binding_energy_std,v_Energy_barrier_mean,v_Energy_barrier_std,std,M,UB,LB,CDF
Ni3Sb_mp-976847_primitive_111,0.57,0,0.56,0,0,-0.01,-0.01,-0.01,0
Ta2Ni_mp-1867_primitive_101,0.415804978,0.135919533,0.404729261,0.024898329,0.138181208,-0.011075717,0.127105491,-0.149256926,0.254914656
Ta2Ni_mp-1867_primitive_2-12,0.406052586,0.123088689,0.394774057,0.021011334,0.124869138,-0.011278529,0.113590608,-0.136147667,0.232391558
Ta2Ni_mp-1101992_primitive_2-12,0.393403196,0.096101959,0.381711866,0.0227279,0.098752944,-0.01169133,0.087061613,-0.110444274,0.176576176
Ta2Ni_mp-1867_primitive_2-21,0.384241621,0.097566665,0.37162215,0.013540024,0.098501707,-0.012619472,0.085882235,-0.111121179,0.173536232
Cd5Ni_mp-1229280_primitive_211,0.384399335,0.059436469,0.371588217,0.016471044,0.061676487,-0.012811118,0.048865369,-0.074487606,0.066187043
Ta2Ni_mp-1867_primitive_21-1,0.423129024,0.120280757,0.409195307,0.019433909,0.121840623,-0.013933717,0.107906906,-0.135774339,0.220366609
Zn22Ni3_mp-1207504_primitive_201,0.41392124,0.05650241,0.399647079,0.014485954,0.058329796,-0.014274161,0.044055636,-0.072603957,0.053022679
Zn22Ni3_mp-1207504_primitive_21-1,0.410025692,0.052232405,0.395731233,0.014817186,0.054293398,-0.014294459,0.03999894,-0.068587857,0.041215005
Zn11Ni2_mp-11532_primitive_110,0.411673638,0.06904234,0.396567461,0.009241194,0.069658053,-0.015106177,0.054551876,-0.084764231,0.086074795
Zn22Ni3_mp-1207504_primitive_1-1-2,0.407651924,0.06107691,0.39233634,0.008984415,0.061734177,-0.015315583,0.046418594,-0.07704976,0.061298063
Zn22Ni3_mp-1207504_primitive_1-10,0.397113964,0.058912063,0.379802974,0.012008617,0.060123523,-0.01731099,0.042812532,-0.077434513,0.05277553
Ta2Ni_mp-1867_primitive_11-1,0.404244815,0.119150418,0.386722116,0.023569646,0.121459254,-0.017522699,0.103936555,-0.138981953,0.211008978
Cd5Ni_mp-1229280_primitive_221,0.395420018,0.060504102,0.377531081,0.014682706,0.062260166,-0.017888936,0.044371229,-0.080149102,0.057945565
Ta2Ni_mp-1101992_primitive_201,0.423818712,0.124726159,0.404943269,0.015825885,0.125726184,-0.018875442,0.106850741,-0.144601626,0.21580641
Cd5Ni_mp-1229280_primitive_210,0.403532229,0.05909814,0.383639638,0.012692692,0.060445799,-0.019892591,0.040553207,-0.08033839,0.049206377
Zn11Ni2_mp-11532_primitive_221,0.421747786,0.064898782,0.400261039,0.013868285,0.066364006,-0.021486747,0.044877258,-0.087850753,0.063102002
NiBi_mp-1220533_primitive_2-2-1,0.456518434,0.042344975,0.434364423,0.013769809,0.044527571,-0.022154011,0.02237356,-0.066681582,0.010890243
Ta2Ni_mp-1867_primitive_112,0.418014519,0.088482504,0.393979551,0.015734251,0.089870574,-0.024034968,0.065835606,-0.113905542,0.123511857
Zn22Ni3_mp-1207504_primitive_2-1-1,0.418893042,0.061727791,0.392773353,0.011010109,0.062702015,-0.02611969,0.036582326,-0.088821705,0.045280613
Zn22Ni3_mp-1207504_primitive_221,0.422405674,0.066198111,0.395872337,0.015572282,0.068005043,-0.026533337,0.041471706,-0.09453838,0.058609893
Ta2Ni_mp-1867_primitive_212,0.407869621,0.094991904,0.378816764,0.02999657,0.099615541,-0.029052857,0.070562685,-0.128668398,0.136815854
Zn22Ni3_mp-1207504_primitive_110,0.415413401,0.053829173,0.38409389,0.010504498,0.054844548,-0.031319511,0.023525037,-0.086164058,0.0211921
Ta2Ni_mp-1867_primitive_201,0.421385048,0.148616986,0.389386879,0.023664083,0.150489193,-0.031998169,0.118491024,-0.182487362,0.22836948
Ta2Ni_mp-1867_primitive_110,0.446981575,0.151994529,0.413975376,0.03220086,0.155368054,-0.033006199,0.122361856,-0.188374253,0.233507277
Zn11Ni2_mp-11532_primitive_22-1,0.411079203,0.049975487,0.375485379,0.011326761,0.051242998,-0.035593824,0.015649174,-0.086836822,0.012041659
Zn11Ni2_mp-11532_primitive_211,0.425557378,0.059802113,0.386069462,0.013761223,0.061365006,-0.039487916,0.02187709,-0.100852922,0.025757357
NiPb_mp-569446_primitive_102,0.648885,0,0.609213,0,0,-0.039672,-0.039672,-0.039672,0
TaNi_mp-1217954_primitive_2-12,0.483018556,0.058814628,0.440338168,0.015705799,0.06087555,-0.042680389,0.018195161,-0.103555938,0.021938425
NiBi_mp-22861_primitive_001,0.513934407,0.049932584,0.471048118,0.014735217,0.052061402,-0.042886288,0.009175113,-0.09494769,0.009127357
TaNi_mp-1217954_primitive_211,0.454364294,0.049193795,0.410554937,0.014321041,0.051235941,-0.043809357,0.007426584,-0.095045299,0.007836227
NiBi_mp-1220533_primitive_110,0.493274149,0.032617965,0.449126524,0.008200323,0.033632974,-0.044147626,-0.010514651,-0.0777806,0.000111579
Ta2Ni_mp-1867_primitive_111,0.430916971,0.153660202,0.386585839,0.029278185,0.156424645,-0.044331132,0.112093514,-0.200755777,0.213355955
Zn22Ni3_mp-1207504_primitive_1-12,0.420488107,0.056411318,0.374515142,0.010442544,0.057369709,-0.045972966,0.011396743,-0.103342674,0.014052782
Zn53Ni16_mp-581951_primitive_2-12,0.437211807,0.03509869,0.389607428,0.010011113,0.036498499,-0.047604379,-0.01110588,-0.084102878,0.000236008
TaNi_mp-1217954_primitive_20-1,0.477634117,0.053234145,0.429567544,0.012056511,0.054582357,-0.048066573,0.006515784,-0.10264893,0.009480425
TaNi_mp-1217954_primitive_10-2,0.478185415,0.057394012,0.429959226,0.008164035,0.057971752,-0.04822619,0.009745563,-0.106197942,0.013487699
Cd3Ni_mp-1183624_primitive_111,0.4,0,0.35,0,0,-0.05,-0.05,-0.05,0
Ta2Ni_mp-1101992_primitive_100,0.437199752,0.125285393,0.38565561,0.044400933,0.13292055,-0.051544142,0.081376409,-0.184464692,0.161173863
Ta2Ni_mp-1867_primitive_100,0.439655243,0.095335083,0.386409281,0.029000183,0.099648325,-0.053245962,0.046402363,-0.152894286,0.090584867
Zn11Ni2_mp-11532_primitive_100,0.423355339,0.059520257,0.369413942,0.010492542,0.060438021,-0.053941397,0.006496624,-0.114379419,0.013339666
NiBi_mp-22861_primitive_100,0.520241331,0.032288039,0.463908535,0.011339425,0.034221338,-0.056332795,-0.022111457,-0.090554134,3.39034E-05
Zn22Ni3_mp-1207504_primitive_10-2,0.422227579,0.053656121,0.364743155,0.015193792,0.055765855,-0.057484424,-0.001718569,-0.113250279,0.006843264
Zn22Ni3_mp-1207504_primitive_21-2,0.433081546,0.052637516,0.373985462,0.013144047,0.054253793,-0.059096085,-0.004842292,-0.113349877,0.005176601
NiSb3_mp-1106023_primitive_210,0.430241822,0.099668207,0.369427583,0.022469153,0.102169537,-0.060814239,0.041355298,-0.162983776,0.084064455
In9Ni13_mp-641509_primitive_212,0.553071064,0.062499908,0.488772379,0.021671829,0.066150636,-0.064298685,0.001851951,-0.130449321,0.014578214
Zn22Ni3_mp-1207504_primitive_112,0.432140526,0.064103252,0.367249726,0.014273362,0.065673098,-0.0648908,0.000782297,-0.130563898,0.013683501
Ga9Ni13_mp-21589_primitive_2-1-1,0.42259133,0.089622974,0.35698576,0.017597532,0.091334279,-0.06560557,0.025728709,-0.15693985,0.055445056
Zn3Ni_mp-1187948_primitive_211,0.467936499,0.043492238,0.401596616,0.013383582,0.04550489,-0.066339883,-0.020834993,-0.111844774,0.000650146
Zn53Ni16_mp-581951_primitive_112,0.45505953,0.043696126,0.387059075,0.012684153,0.045499881,-0.068000455,-0.022500574,-0.113500336,0.000571438
NiBi_mp-1220533_primitive_101,0.513769111,0.0316705,0.445284288,0.00903306,0.03293352,-0.068484823,-0.035551304,-0.101418343,3.26249E-06
Zn53Ni16_mp-581951_primitive_102,0.453745627,0.05724861,0.384742522,0.01021367,0.058152578,-0.069003105,-0.010850527,-0.127155684,0.005199394
NiBi_mp-22861_primitive_201,0.513440584,0.046664699,0.444115418,0.018189788,0.050084554,-0.069325165,-0.019240612,-0.119409719,0.001434381
TaNi_mp-1217954_primitive_21-1,0.491698049,0.046080263,0.421888416,0.012856589,0.047840177,-0.069809633,-0.021969456,-0.117649811,0.000869695
Zn53Ni16_mp-581951_primitive_210,0.464404604,0.032294271,0.391195847,0.01166567,0.034336683,-0.073208757,-0.038872073,-0.10754544,4.06075E-06
Ga9Ni13_mp-21589_primitive_212,0.422236739,0.064431808,0.347399001,0.012380753,0.065610524,-0.074837738,-0.009227214,-0.140448263,0.009138631
Zn3Ni_mp-1187948_primitive_212,0.468716814,0.041590727,0.393782513,0.011772652,0.043224806,-0.074934301,-0.031709495,-0.118159107,0.000168937
Zn22Ni3_mp-1207504_primitive_2-1-2,0.438155679,0.063425501,0.362262745,0.01516067,0.06521227,-0.075892934,-0.010680664,-0.141105204,0.008411669
Ni3Sb_mp-10260_primitive_221,0.550645,0,0.473659,0,0,-0.076986,-0.076986,-0.076986,0
Cd3Ni_mp-1183624_primitive_210,0.445735861,0.051187963,0.368238534,0.019709248,0.054851272,-0.077497327,-0.022646056,-0.132348599,0.002043598
Zn53Ni16_mp-581951_primitive_100,0.477944002,0.05548507,0.40044377,0.010102023,0.056397197,-0.077500232,-0.021103035,-0.133897428,0.002613539
Zn53Ni16_mp-581951_primitive_1-11,0.459728888,0.043308954,0.381982866,0.011092985,0.044707044,-0.077746022,-0.033038978,-0.122453066,0.00020901
TaNi_mp-1217954_primitive_201,0.502600163,0.046624601,0.424543373,0.014559562,0.048845002,-0.07805679,-0.029211787,-0.126901792,0.000606332
Zn53Ni16_mp-581951_primitive_201,0.463980411,0.039347347,0.385444891,0.009471965,0.040471371,-0.07853552,-0.038064149,-0.11900689,4.47868E-05
Zn11Ni2_mp-11532_primitive_210,0.452885617,0.052745238,0.374120988,0.012388876,0.054180664,-0.078764629,-0.024583965,-0.132945294,0.001693272
NiSb2_mp-19895_primitive_211,0.435709339,0.074132068,0.356412412,0.029513643,0.079791094,-0.079296927,0.000494167,-0.159088021,0.022943846
NiBi_mp-22861_primitive_111,0.519669265,0.034869808,0.440352869,0.01992055,0.040158833,-0.079316396,-0.039157563,-0.119475228,3.63675E-05
In3Ni7_mp-1213091_primitive_011,0.769555864,0.112615536,0.690230653,0.037596642,0.118725593,-0.079325211,0.039400382,-0.198050804,0.089804191
